hanzi,pinyin,meaning
二八佳人,[er4 ba1 jia1 ren2],16-year-old beauty
二分,[er4 fen1],second part
二分之一,[er4 fen1 zhi1 yi1],one half
二分裂,[er4 fen1 lie4],binary division (in bacterial reproduction)
二分音符,[er4 fen1 yin1 fu2],minim (music)
二分点,[er4 fen1 dian3],the two equinoxes
二刻拍案惊奇,[Er4 ke4 Pai1 an4 Jing1 qi2],Slapping the Table in Amazement (Part II), second of two books of vernacular stories by Ming dynasty novelist Ling Mengchu 凌濛初|凌蒙初[Ling2 Meng2 chu1]
二副,[er4 fu4],second officer (of ship)
二十,[er4 shi2],twenty
二十一世纪,[er4 shi2 yi1 shi4 ji4],21st century
二十一条,[Er4 shi2 yi1 Tiao2],the Japanese Twenty-One Demands of 1915
二十一点,[er4 shi2 yi1 dian3],blackjack (card game)
二十世纪,[er4 shi2 shi4 ji4],20th century
二十五史,[er4 shi2 wu3 shi3],twenty four dynastic histories (or 25 or 26 in modern editions)
二十八宿,[er4 shi2 ba1 xiu4],the twenty-eight constellations
二十六岁,[er4 shi2 liu4 sui4],26 years old
二十四史,[Er4 shi2 si4 Shi3],the Twenty-Four Histories (25 or 26 in modern editions), collection of books on Chinese dynastic history from 3000 BC till 17th century
二十四孝,[Er4 shi2 si4 Xiao4],the Twenty-four Filial Exemplars, classic Confucian text on filial piety from Yuan dynasty
二十四节气,[er4 shi2 si4 jie2 qi5],the 24 solar terms, calculated from the position of the sun on the ecliptic, that divide the year into 24 equal periods
二十多,[er4 shi2 duo1],over 20
二十年目睹之怪现状,[Er4 shi2 Nian2 Mu4 du3 zhi1 Guai4 Xian4 zhuang4],The Strange State of the World Witnessed Over 20 Years, novel by late Qing novelist Wu Jianren 吳趼人|吴趼人[Wu2 Jian3 ren2]
二十面体,[er4 shi2 mian4 ti3],icosahedron
二叉树,[er4 cha1 shu4],binary tree
二合一,[er4 he2 yi1],2-in-1
二名法,[er4 ming2 fa3],binomial nomenclature (taxonomy)
二哥,[er4 ge1],second brother
二恶英,[er4 e4 ying1],dioxin
二地主,[er4 di4 zhu3],sublandlord
二奶,[er4 nai3],mistress
二奶专家,[er4 nai3 zhuan1 jia1],"mercenary expert", a person who is supposedly an independent expert, but receives payment for making comments favorable to a particular entity
二婚,[er4 hun1],to marry for the second time
二婚头,[er4 hun1 tou2],remarried lady (contemptuous term)
二宝,[er4 bao3],second child
二尕子,[er4 ga3 zi5],scoundrel
二尖瓣,[er4 jian1 ban4],mitral valve (physiology)
二尖瓣狭窄,[er4 jian1 ban4 xia2 zhai3],mitral stenosis (physiology)
二屄,[er4 bi1],(slang) idiot
二仑,[Er4 lun2],Erlun or Erhlun township in Yunlin county 雲林縣|云林县[Yun2 lin2 xian4], Taiwan
二仑乡,[Er4 lun2 xiang1],Erlun or Erhlun township in Yunlin county 雲林縣|云林县[Yun2 lin2 xian4], Taiwan
二年生,[er4 nian2 sheng1],biennial (botany)
二度,[er4 du4],second degree
二心,[er4 xin1],disloyalty
二恶英,[er4 e4 ying1],dioxin
二愣子,[er4 leng4 zi5],stupid person
二战,[Er4 zhan4],World War II
二房,[er4 fang2],second branch of an extended family
二房东,[er4 fang2 dong1],sublandlord
二手,[er4 shou3],indirectly acquired
二手房,[er4 shou3 fang2],second-hand house
二手烟,[er4 shou3 yan1],second-hand smoke
二手货,[er4 shou3 huo4],second-hand goods
二手车,[er4 shou3 che1],second-hand car
二把刀,[er4 ba3 dao1],inexpert
二把手,[er4 ba3 shou3],deputy leader
二斑百灵,[er4 ban1 bai3 ling2],(bird species of China) bimaculated lark (Melanocorypha bimaculata)
二更,[er4 geng1],second of the five night watch periods 21:00-23:00 (old)
二月,[Er4 yue4],February
二月份,[er4 yue4 fen4],February
二杆子,[er4 gan1 zi5],hot-tempered
二林,[Er4 lin2],Erhlin town in Changhua county 彰化縣|彰化县[Zhang1 hua4 xian4], Taiwan
二林镇,[Er4 lin2 zhen4],Erhlin town in Changhua county 彰化縣|彰化县[Zhang1 hua4 xian4], Taiwan
二极管,[er4 ji2 guan3],diode
二次,[er4 ci4],second (i.e. number two)
二次世界大战,[Er4 ci4 Shi4 jie4 Da4 zhan4],World War Two
二次函数,[er4 ci4 han2 shu4],quadratic function
二次型,[er4 ci4 xing2],quadratic form (math.)
二次多项式,[er4 ci4 duo1 xiang4 shi4],quadratic polynomial
二次大战,[Er4 ci4 Da4 zhan4],World War Two
二次方,[er4 ci4 fang1],square (i.e. x times x)
二次方程,[er4 ci4 fang1 cheng2],quadratic equation
二次曲,[er4 ci4 qu1],quadratic curve
二次曲线,[er4 ci4 qu1 xian4],quadratic curve (geometry)
二次曲面,[er4 ci4 qu1 mian4],quadric surface (geometry)
二次革命,[er4 ci4 ge2 ming4],second revolution
二正丙醚,[er4 zheng4 bing3 mi2],di-n-propyl ether
二毛子,[er4 mao2 zi5],lit. secondary foreigner
二氧化氮,[er4 yang3 hua4 dan4],nitrogen dioxide
二氧化物,[er4 yang3 hua4 wu4],dioxide
二氧化硅,[er4 yang3 hua4 gui1],silicon dioxide (SiO2)
二氧化硫,[er4 yang3 hua4 liu2],sulfur dioxide SO2
二氧化碳,[er4 yang3 hua4 tan4],carbon dioxide CO2
二氧化碳隔离,[er4 yang3 hua4 tan4 ge2 li2],carbon sequestration
二氧化钛,[er4 yang3 hua4 tai4],titanium dioxide
二氧化铀,[er4 yang3 hua4 you2],brown oxidier
二氧化锰,[er4 yang3 hua4 meng3],manganese(iv) oxide
二氧芑,[er4 yang3 qi3],dioxin
二氧杂芑,[er4 yang3 za2 qi3],dioxin
二氯乙烷中毒,[er4 lu:4 yi3 wan2 zhong1 du2],dichloroethane poisoning
二氯甲烷,[er4 lu:4 jia3 wan2],dichloromethane
二氯异三聚氰酸钠,[er4 lu:4 yi4 san1 ju4 qing2 suan1 na4],sodium dichloroisocyanurate
二氯胺,[er4 lu:4 an4],dichloramine
二氯苯胺苯乙酸钠,[er4 lu:4 ben3 an4 ben3 yi3 suan1 na4],diclofenac sodium (non-steroidal anti-inflammatory drug used to reduce swelling and as pain-killer)
二水,[Er4 shui3],Erhshui township in Changhua county 彰化縣|彰化县[Zhang1 hua4 xian4], Taiwan
二水货,[er4 shui3 huo4],used goods
二水乡,[Er4 shui3 xiang1],Erhshui township in Changhua county 彰化縣|彰化县[Zhang1 hua4 xian4], Taiwan
二流,[er4 liu2],second-rate
二流子,[er4 liu2 zi5],loafer
二甘醇,[er4 gan1 chun2],diethylene glycol
二产妇,[er4 chan3 fu4],lady who has given birth twice
二甲,[er4 jia3],2nd rank of candidates who passed the imperial examination (i.e. 4th place and up)
二甲基砷酸,[er4 jia3 ji1 shen1 suan1],dimethylarsenic acid (CH3)2AsO2H
二甲基胂酸,[er4 jia3 ji1 shen4 suan1],dimethylarsenic acid (CH3)2AsO2H
二甲苯,[er4 jia3 ben3],xylene
二叠纪,[Er4 die2 ji4],Permian (geological period 292-250m years ago)
二百五,[er4 bai3 wu3],idiot
二百方针,[er4 bai3 fang1 zhen1],see 雙百方針|双百方针[shuang1 bai3 fang1 zhen1]
二皇帝,[er4 huang2 di4],second emperor of a dynasty
二硫化碳,[er4 liu2 hua4 tan4],carbon disulfide
二硫基丙磺酸钠,[er4 liu2 ji1 bing3 huang2 suan1 na4],sodium dimercaptosulfanate
二硫基丙醇,[er4 liu2 ji1 bing3 chun2],dimercaprol
二硫基琥珀酸钠,[er4 liu2 ji1 hu3 po4 suan1 na4],sodium dimercaptosuccinate
二磷酸腺苷,[er4 lin2 suan1 xian4 gan1],adenosine diphosphate (ADP)
二等,[er4 deng3],second class
二等舱,[er4 deng3 cang1],second class cabin
二等车,[er4 deng3 che1],second class
二节棍,[er4 jie2 gun4],nunchaku (weapon with two rods joined by a short chain, used in martial arts)
二简,[er4 jian3],abbr. for 第二次漢字簡化方案|第二次汉字简化方案[Di4 er4 ci4 Han4 zi4 Jian3 hua4 Fang1 an4]
二簧,[er4 huang2],variant of 二黃|二黄[er4 huang2]
二糖,[er4 tang2],disaccharide
二级,[er4 ji2],grade 2
二级士官,[er4 ji2 shi4 guan1],sergeant
二级头,[er4 ji2 tou2],second stage (diving)
二级头呼吸器,[er4 ji2 tou2 hu1 xi1 qi4],(diving) regulator
二维,[er4 wei2],two-dimensional
二维码,[er4 wei2 ma3],two-dimensional barcode
二老,[er4 lao3],mother and father
二者,[er4 zhe3],both
二者之一,[er4 zhe3 zhi1 yi1],either
二声,[er4 sheng1],second tone
二胎,[er4 tai1],second pregnancy
二胡,[er4 hu2],erhu (Chinese 2-string fiddle)
二苯氯胂,[er4 ben3 lu:4 shen4],diphenylchloroarsine
二茬罪,[er4 cha2 zui4],to suffer second persecution
二号,[er4 hao4],2nd day of the month
二号人物,[er4 hao4 ren2 wu4],second best person
二号电池,[er4 hao4 dian4 chi2],C size battery (Tw)
二话,[er4 hua4],objection
二话不说,[er4 hua4 bu4 shuo1],not saying anything further (idiom); not raising any objection
二话没说,[er4 hua4 mei2 shuo1],see 二話不說|二话不说[er4 hua4 bu4 shuo1]
二货,[er4 huo4],(slang) fool
二轮,[er4 lun2],second round (of a match or election)
二迭纪,[Er4 die2 ji4],Permian (geological period 292-250m years ago)
二连,[Er4 lian2],Erlian basin in Inner Mongolia
二连巨盗龙,[er4 lian2 ju4 dao4 long2],Gigantoraptor erlianensis (a giant bird-like dinosaur found in Erlian in Inner Mongolia)
二连浩特,[Er4 lian2 hao4 te4],Erlianhaote city in Xilin Gol league 錫林郭勒盟|锡林郭勒盟[Xi1 lin2 guo1 le4 meng2], Inner Mongolia
二连浩特市,[Er4 lian2 hao4 te4 shi4],Erlianhaote city in Xilin Gol league 錫林郭勒盟|锡林郭勒盟[Xi1 lin2 guo1 le4 meng2], Inner Mongolia
二连盆地,[Er4 lian2 pen2 di4],Erlian basin in Inner Mongolia
二进,[er4 jin4],binary (math)
二进制,[er4 jin4 zhi4],binary system (math)
二进制编码,[er4 jin4 zhi4 bian1 ma3],binary code
二进宫,[er4 jin4 gong1],name of a famous opera
二逼,[er4 bi1],variant of 二屄[er4 bi1]
二遍苦,[er4 bian4 ku3],second persecution
二道,[Er4 dao4],Erdao district of Changchun city 長春市|长春市, Jilin
二道区,[Er4 dao4 qu1],Erdao district of Changchun city 長春市|长春市, Jilin
二道江,[Er4 dao4 jiang1],Erdaojiang district of Tonghua city 通化市, Jilin
二道江区,[Er4 dao4 jiang1 qu1],Erdaojiang district of Tonghua city 通化市, Jilin
二道贩子,[er4 dao4 fan4 zi5],middleman
二郎,[Er4 lang2],see 二郎神[Er4 lang2 shen2]
二郎神,[Er4 lang2 shen2],Erlangshen, Chinese deity
二郎腿,[er4 lang2 tui3],one leg over the other (legs crossed)
二部制,[er4 bu4 zhi4],two shift system (in schools)
二醇,[er4 chun2],glycol
二里头,[Er4 li3 tou5],Erlitou (Xia dynasty 夏朝 archaeological site at Yanshi 偃师 in Luoyang 洛陽|洛阳, Henan)
二重,[er4 chong2],double
二重下标,[er4 chong2 xia4 biao1],double subscript
二重唱,[er4 chong2 chang4],duet
二重奏,[er4 chong2 zou4],duet (in music)
二重性,[er4 chong2 xing4],dualism
二重根,[er4 chong2 gen1],a double root of an equation
二重母音,[er4 chong2 mu3 yin1],diphthong
二锅头,[er4 guo1 tou2],erguotou (sorghum liquor)
二阿姨,[er4 a1 yi2],auntie, second eldest of sisters in mother's family
二阶,[er4 jie1],second order
二项式,[er4 xiang4 shi4],two items
二项式系数,[er4 xiang4 shi4 xi4 shu4],a binomial coefficient (math.)
二项式定理,[er4 xiang4 shi4 ding4 li3],the Binomial Theorem (math.)
二头肌,[er4 tou2 ji1],biceps muscle
二鬼子,[er4 gui3 zi5],traitor
二黄,[er4 huang2],one of the two chief types of music in Chinese opera
亍,[chu4],step with the right foot
于,[Yu2],surname Yu
于,[yu2],to go
于丹,[Yu2 Dan1],Yu Dan (1965-), female scholar, writer, educator and TV presenter
于归,[yu2 gui1],(literary) (of a girl) to marry
于归之喜,[yu2 gui1 zhi1 xi3],the joy of matrimony (polite phrase referring to a young woman)
于洪,[Yu2 hong2],Yuhong district of Shenyang city 沈陽市|沈阳市, Liaoning
于洪区,[Yu2 hong2 Qu1],Yuhong District of Shenyang city 沈陽市|沈阳市[Shen3 yang2 shi4], Liaoning
亐,[yu2],archaic variant of 于[Yu2]
云,[yun2],(classical) to say
云云,[yun2 yun2],and so on
云城,[Yun2 cheng2],Yuncheng district of Yunfu city 雲浮市|云浮市[Yun2 fu2 shi4], Guangdong
云城区,[Yun2 cheng2 qu1],Yuncheng district of Yunfu city 雲浮市|云浮市[Yun2 fu2 shi4], Guangdong
互,[hu4],mutual
互不侵犯,[hu4 bu4 qin1 fan4],non-aggression
互不相欠,[hu4 bu4 xiang1 qian4],see 兩不相欠|两不相欠[liang3 bu4 xiang1 qian4]
互不相让,[hu4 bu4 xiang1 rang4],neither giving way to the other
互信,[hu4 xin4],mutual trust
互利,[hu4 li4],mutually beneficial
互助,[Hu4 zhu4],Huzhu Tuzu autonomous county in Haidong prefecture 海東地區|海东地区[Hai3 dong1 di4 qu1], Qinghai
互助,[hu4 zhu4],to help each other
互助土族自治县,[Hu4 zhu4 Tu3 zu2 Zi4 zhi4 xian4],Huzhu Tuzu Autonomous County in Haidong prefecture 海東地區|海东地区[Hai3 dong1 di4 qu1], Qinghai
互助县,[Hu4 zhu4 xian4],Huzhu Tuzu autonomous county in Haidong prefecture 海東地區|海东地区[Hai3 dong1 di4 qu1], Qinghai
互勉,[hu4 mian3],to encourage each other
互动,[hu4 dong4],to interact
互动电视,[hu4 dong4 dian4 shi4],interactive TV
互惠,[hu4 hui4],mutual benefit
互换,[hu4 huan4],to exchange
互操性,[hu4 cao1 xing4],interoperability
互文,[hu4 wen2],paired phrases (poetic device)
互斥,[hu4 chi4],mutually exclusive
互为因果,[hu4 wei2 yin1 guo3],mutually related karma (idiom); fates are intertwined
互生,[hu4 sheng1],alternate phyllotaxy (leaf pattern)
互生叶,[hu4 sheng1 ye4],alternate phyllotaxy (leaf pattern)
互异,[hu4 yi4],differing from one another
互相,[hu4 xiang1],each other
互相依存,[hu4 xiang1 yi1 cun2],interdependent
互相扯皮,[hu4 xiang1 che3 pi2],to pass the buck
互相推诿,[hu4 xiang1 tui1 wei3],mutually shirking responsibilities (idiom); each blaming the other
互相监督,[hu4 xiang1 jian1 du1],mutual supervision
互相联系,[hu4 xiang1 lian2 xi4],mutually related
互相连接,[hu4 xiang1 lian2 jie1],interlinked
互粉,[hu4 fen3],to follow each other's accounts (on Weibo etc)
互素,[hu4 su4],(math.) coprime
互联,[hu4 lian2],interconnected
互联网,[Hu4 lian2 wang3],Internet
互联网站,[hu4 lian2 wang3 zhan4],Internet site
互联网络,[hu4 lian2 wang3 luo4],network
互补,[hu4 bu3],complementary
互访,[hu4 fang3],exchange visits
互诉衷肠,[hu1 su4 zhong1 chang2],to confide in each other (idiom)
互译,[hu4 yi4],two-way translation
互通,[hu4 tong1],to intercommunicate
互通性,[hu4 tong1 xing4],interoperability (of communications equipment)
互通有无,[hu4 tong1 you3 wu2],mutual exchange of assistance (idiom)
互连,[hu4 lian2],interconnection
亓,[Qi2],surname Qi
亓,[qi2],his
五,[wu3],five
五一,[wu3 yi1],5-1 (May 1st)
五七,[wu3 qi1],memorial activity 35 days after a person's death
五七一代,[wu3 qi1 yi1 dai4],generation of 1957
五七干校,[wu3 qi1 gan4 xiao4],May 7 Cadre School (forcing educated people into re-education and peasant labor during Cultural Revolution)
五七干部学校,[wu3 qi1 gan4 bu4 xue2 xiao4],May 7 Cadre School (forcing educated people into re-education and peasant labor during Cultural Revolution)
五世,[wu3 shi4],the fifth (of series of numbered kings)
五五,[wu3 wu3],50-50
五人墓碑记,[wu3 ren2 mu4 bei1 ji4],Five tombstone inscriptions (1628), written by Zhang Pu 張溥|张溥[Zhang1 Pu3]
五代,[Wu3 dai4],Five Dynasties, period of history between the fall of the Tang dynasty (907) and the founding of the Song dynasty (960), when five would-be dynasties were established in quick succession in North China
五代十国,[Wu3 dai4 Shi2 guo2],Five Dynasties (907-960) and Ten Kingdoms (902-979), period of political turmoil in ancient China
五代史,[Wu3 dai4 shi3],History of the Five Dynasties, eighteenth of the 24 dynastic histories 二十四史[Er4 shi2 si4 Shi3], compiled under Xue Juzheng 薛居正[Xue1 Ju1 zheng4] in 974 during Northern Song 北宋[Bei3 Song4], 150 scrolls
五倍子树,[wu3 bei4 zi5 shu4],Chinese sumac (Rhus chinensis)
五伦,[wu3 lun2],the five Confucian relationships (ruler-subject, father-son, brother-brother, husband-wife, friend-friend)
五光十色,[wu3 guang1 shi2 se4],bright and multicolored
五分之一,[wu3 fen1 zhi1 yi1],one fifth
五分熟,[wu3 fen1 shu2],cooked five minutes
五分美金,[wu3 fen1 Mei3 jin1],nickel
五刑,[wu3 xing2],imperial five punishments of feudal China, up to Han times: tattooing characters on the forehead 墨[mo4], cutting off the nose 劓[yi4], amputation of one or both feet 刖[yue4], castration 宮|宫[gong1], execution 大辟[da4 pi4]
五加,[wu3 jia1],Acanthopanax gracilistylus
五劳七伤,[wu3 lao2 qi1 shang1],(TCM) "five strains and seven impairments", five referring to the five viscera 五臟|五脏[wu3 zang4], and seven to adverse effects on one's body as a result of: overeating (spleen), anger (liver), moisture (kidney), cold (lung), worry (heart), wind and rain (outer appearance) and fear (mind)
五十,[wu3 shi2],fifty
五十步笑百步,[wu3 shi2 bu4 xiao4 bai3 bu4],the one who has retreated 50 steps laughs at the one who has retreated 100 steps (idiom)
五十肩,[wu3 shi2 jian1],adhesive capsulitis (frozen shoulder)
五十铃,[Wu3 shi2 ling2],Isuzu
五卅,[wu3 sa4],abbr. for 五卅運動|五卅运动[wu3 sa4 yun4 dong4], The May Thirtieth Movement (1925)
五卅运动,[wu3 sa4 yun4 dong4],anti-imperialist movement of 30th May 1925, involving general strike esp. in Shanghai, Guangzhou, Hong Kong etc
五原,[Wu3 yuan2],Wuyuan county in Bayan Nur 巴彥淖爾|巴彦淖尔[Ba1 yan4 nao4 er3], Inner Mongolia
五原县,[Wu3 yuan2 xian4],Wuyuan county in Bayan Nur 巴彥淖爾|巴彦淖尔[Ba1 yan4 nao4 er3], Inner Mongolia
五口通商,[wu3 kou3 tong1 shang1],the five treaty ports forced on Qing China by the 1842 treaty of Nanjing 南京條約|南京条约 that concluded the First Opium War, namely: Guangzhou 廣州|广州, Fuzhou 福州, Ningbo 寧波|宁波, Xiamen or Amoy 廈門|厦门 and Shanghai 上海
五味,[wu3 wei4],the five flavors, namely: sweet 甜, sour 酸, bitter 苦, spicy hot 辣, salty 鹹|咸
五味俱全,[wu3 wei4 ju4 quan2],a complete gamut of all five flavors (idiom); every flavor under the sun
五味子,[wu3 wei4 zi3],schizandra (Schisandra chinensis)
五味杂陈,[wu3 wei4 za2 chen2],with complex feelings (idiom)
五四,[wu3 si4],fourth of May, cf 五四運動|五四运动, national renewal movement that started with 4th May 1919 protest against the Treaty of Versailles
五四爱国运动,[wu3 si4 ai4 guo2 yun4 dong4],May Fourth Movement
五四运动,[Wu3 si4 Yun4 dong4],May Fourth Movement
五大名山,[Wu3 da4 Ming2 shan1],Five Sacred Mountains of the Daoists, namely: Mt Tai 泰山[Tai4 Shan1] in Shandong, Mt Hua 華山|华山[Hua4 Shan1] in Shaanxi, Mt Heng 衡山[Heng2 Shan1] in Hunan, Mt Heng 恆山|恒山[Heng2 Shan1] in Shanxi, Mt Song 嵩山[Song1 Shan1] in Henan
五大洲,[wu3 da4 zhou1],five continents
五大湖,[Wu3 da4 hu2],Great Lakes
五大连池,[Wu3 da4 lian2 chi2],Wudalianchi county level city in Heihe 黑河[Hei1 he2], Heilongjiang
五大连池市,[Wu3 da4 lian2 chi2 shi4],Wudalianchi county level city in Heihe 黑河[Hei1 he2], Heilongjiang
五子棋,[wu3 zi3 qi2],five-in-a-row (game similar to tic-tac-toe)
五官,[wu3 guan1],five sense organs of TCM (nose, eyes, lips, tongue, ears 鼻目口舌耳)
五官端正,[wu3 guan1 duan1 zheng4],to have regular features
五家渠,[Wu3 jia1 qu2],Wujyachü shehiri (Wujiaqu city) or Wǔjiāqú subprefecture level city in Ili Kazakh autonomous prefecture in north Xinjiang
五家渠市,[Wu3 jia1 qu2 shi4],Wujyachü shehiri (Wujiaqu city) or Wǔjiāqú subprefecture level city in Ili Kazakh autonomous prefecture in north Xinjiang
五寨,[Wu3 zhai4],Wuzhai county in Xinzhou 忻州[Xin1 zhou1], Shanxi
五寨县,[Wu3 zhai4 xian4],Wuzhai county in Xinzhou 忻州[Xin1 zhou1], Shanxi
五峰,[Wu3 feng1],abbr. for 五峰土家族自治縣|五峰土家族自治县[Wu3 feng1 Tu3 jia1 zu2 Zi4 zhi4 xian4], Wufeng Tujiazu Autonomous County in Hubei
五峰土家族自治县,[Wu3 feng1 Tu3 jia1 zu2 Zi4 zhi4 xian4],Wufeng Tujiazu Autonomous County in Hubei
五峰县,[Wu3 feng1 Xian4],abbr. for 五峰土家族自治縣|五峰土家族自治县[Wu3 feng1 Tu3 jia1 zu2 Zi4 zhi4 xian4], Wufeng Tujiazu Autonomous County in Hubei
五峰乡,[Wu3 feng1 xiang1],Wufeng township in Hsinchu County 新竹縣|新竹县[Xin1 zhu2 Xian4], northwest Taiwan
五岭,[wu3 ling3],the five ranges separating Hunan and Jiangxi from south China, esp. Guangdong and Guangxi, namely: Dayu 大庾嶺|大庾岭[Da4 yu3 ling3], Dupang 都龐嶺|都庞岭[Du1 pang2 ling3], Qitian 騎田嶺|骑田岭[Qi2 tian2 ling3], Mengzhu 萌渚嶺|萌渚岭[Meng2 zhu3 ling3] and Yuecheng 越城嶺|越城岭[Yue4 cheng2 ling3]
